Code,LISTA,LISTB,LISTC,LISTD,LISTE
filler,deal,deal,deal,deal,deal
nonce,melve,melve,melve,melve,melve
filler,fetch,fetch,fetch,fetch,fetch
filler,hate,hate,hate,hate,hate
pair1-P,blur,steer,steered,cheered,blurred
nonce,punged,punged,punged,punged,punged
nonce,pook,pook,pook,pook,pook
pair2-P,clothe,bail,clothed,bailed,loathed
filler,reek,reek,reek,reek,reek
nonce,gensed,gensed,gensed,gensed,gensed
pair1-T,cheer,cheer,cheer,cheer,cheer
nonce,mulped,mulped,mulped,mulped,mulped
pair3-P,drilled,quizzed,drill,thrilled,quiz
pair2-T,loathe,loathe,loathe,loathe,loathe
filler,lit,lit,lit,lit,lit
pair4-P,hacked,shrieked,shriek,hack,creaked
nonce,fulge,fulge,fulge,fulge,fulge
filler,gasp,gasp,gasp,gasp,gasp
pair3-T,thrill,thrill,thrill,thrill,thrill
nonce,jowsed,jowsed,jowsed,jowsed,jowsed
nonce,dagged,dagged,dagged,dagged,dagged
filler,tap,tap,tap,tap,tap
nonce,nince,nince,nince,nince,nince
pair4-T,creak,creak,creak,creak,creak
GAP,,,,,
filler,coax,coax,coax,coax,coax
pair5-P,bluffed,scuff,scuffed,pricked,prick
filler,touch,touch,touch,touch,touch
nonce,snad,snad,snad,snad,snad
filler,calmed,calmed,calmed,calmed,calmed
nonce,moiled,moiled,moiled,moiled,moiled
pair6-P,hum,paved,pave,raved,hummed
pair5-T,bluff,bluff,bluff,bluff,bluff
nonce,dilk,dilk,dilk,dilk,dilk
nonce,mork,mork,mork,mork,mork
pair7-P,flinch,flinched,yanked,yank,lynched
filler,join,join,join,join,join
pair6-T,rave,rave,rave,rave,rave
nonce,gusked,gusked,gusked,gusked,gusked
pair8-P,slashed,clipped,clip,thrashed,slash
filler,waste,waste,waste,waste,waste
filler,tease,tease,tease,tease,tease
pair7-T,lynch,lynch,lynch,lynch,lynch
nonce,gredge,gredge,gredge,gredge,gredge
nonce,zamp,zamp,zamp,zamp,zamp
pair9-P,bloom,flared,scare,scared,bloomed
nonce,kleezed,kleezed,kleezed,kleezed,kleezed
pair8-T,thrash,thrash,thrash,thrash,thrash
filler,help,help,help,help,help
filer,yield,yield,yield,yield,yield
nonce,kiff,kiff,kiff,kiff,kiff
nonce,weck,weck,weck,weck,weck
GAP,,,,,
nonce,padged,padged,padged,padged,padged
nonce,meave,meave,meave,meave,meave
pair10-P,shirked,dunk,perked,dunked,perk
filler,chalked,chalked,chalked,chalked,chalked
nonce,gish,gish,gish,gish,gish
pair9-T,flare,flare,flare,flare,flare
nonce,kebbed,kebbed,kebbed,kebbed,kebbed
pair11-P,scoop,preach,bleached,preached,scooped
nonce,glarmed,glarmed,glarmed,glarmed,glarmed
nonce,heg,heg,heg,heg,heg
pair10-T,shirk,shirk,shirk,shirk,shirk
nonce,pusk,pusk,pusk,pusk,pusk
pair12-P,ticked,joke,licked,tick,joked
nonce,plabbed,plabbed,plabbed,plabbed,plabbed
pair11-T,bleach,bleach,bleach,bleach,bleach
nonce,bisp,bisp,bisp,bisp,bisp
nonce,thrudge,thrudge,thrudge,thrudge,thrudge
nonce,zoised,zoised,zoised,zoised,zoised
pair13-P,swapped,clucked,flopped,cluck,swap
filler,clamp,clamp,clamp,clamp,clamp
pair12-T,lick,lick,lick,lick,lick
nonce,thassed,thassed,thassed,thassed,thassed
filler,hex,hex,hex,hex,hex
nonce,pob,pob,pob,pob,pob
filler,kill,kill,kill,kill,kill
pair13-T,flop,flop,flop,flop,flop
GAP,,,,,
filler,look,look,look,look,look
pair14-P,jabbed,swirled,jab,swirl,hurled
filler,wear,wear,wear,wear,wear
nonce,kipe,kipe,kipe,kipe,kipe
filler,knit,knit,knit,knit,knit
nonce,motch,motch,motch,motch,motch
pair14-T,hurl,hurl,hurl,hurl,hurl
nonce,lin,lin,lin,lin,lin
filler,flush,flush,flush,flush,flush
filler,linked,linked,linked,linked,linked
pair16-P,plucked,stitch,twitched,stitched,pluck
nonce,woobed,woobed,woobed,woobed,woobed
pair15-T,growl,growl,growl,growl,growl
nonce,tharge,tharge,tharge,tharge,tharge
pair17-P,dub,roamed,combed,comb,dubbed
filler,match,miss,miss,miss,miss
nonce,thoil,thoil,thoil,thoil,thoil
pair16-T,twitch,twitch,twitch,twitch,twitch
filler,date,date,date,date,date
nonce,grap,grap,grap,grap,grap
pair17-T,roam,roam,roam,roam,roam
GAP,,,,,
filler,beat,beat,beat,beat,beat
filler,mash,mash,mash,mash,mash
pair18-P,skip,dripped,flap,flapped,skipped
filler,pave,pave,pave,pave,pave
nonce,gletched,gletched,gletched,gletched,gletched
pair19-P,lull,culled,begged,beg,lulled
filler,slot,slot,slot,slot,slot
nonce,waff,waff,waff,waff,waff
nonce,sputch,sputch,sputch,sputch,sputch
pair18-T,drip,drip,drip,drip,drip
pair20-P,banned,tugged,hugged,hug,ban
nonce,morked,morked,morked,morked,morked
pair19-T,cull,cull,cull,cull,cull
nonce,lyped,lyped,lyped,lyped,lyped
nonce,panged,panged,panged,panged,panged
filler,burp,burp,burp,burp,burp
pair20-T,tug,tug,tug,tug,tug
nonce,flace,flace,flace,flace,flace
